Id;SharkSpeciesId;AttackedPersonId;CountryId;DateTime;Type;Area;Location;Activity;Injury;AttackSeverenity;Investigator

688;1;661;;1978/06/21 0:00:00;Unprovoked;Florida;South of Neptune Beach, Duval County;Surfing;Foot bitten;NonFatal;Bryan Times, 6/23/1978

689;4;662;;1978/04/02 0:00:00;Unprovoked;Ralik Archipelago;Enewetak Atoll;Diving;Lacerations to right forearm;NonFatal;Modesto Bee, 4/4/1978

690;11;663;;1977/11/12 0:00:00;Provoked;Western Cape Province;Klein River Lagoon;Standing;Shark lacerated his hand when he grabbed it by the tail PROVOKED INCIDENT;NonFatal;Times of Hermanus, 11/16/1977

691;13;664;;1977/08/05 12:00:00;Unknown;Florida;St. Petersburg, Pinellas County;Wading;Lacerations to hip and leg;NonFatal;St. Petersburg Independent, 8/8/1977

692;9;665;;1977/06/06 0:00:00;Unprovoked;Texas;Padre Island;Collecting fish from net;Lacerations to wrist;NonFatal;Abilene Reporter-News, 6/9/1977

693;9;666;17;1977/02/26 0:00:00;Unprovoked;New South Wales;Kingscliffe Beach, south of Tweed Heads;Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board;Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard;NonFatal;"Ruston Daily Leader, 2/28/1977; A. Sharpe, p.86"

694;13;667;138;1977/01/01 14:30:00;Unprovoked;Guerrero;La Playa Hornos (near Acapulco);Swimming;FATAL, left leg severed, neck cut;Fatal;A.Resciniti, p.107

695;16;668;;1976/09/06 14:00:00;Unprovoked;Florida;Sebastian, Indian River County;Surfing;Laceration to left lower leg;NonFatal;P. Ferrer

696;9;669;;1976/08/26 0:00:00;Unprovoked;North Carolina;Emerald Isle Pier (near Morehead City), Carteret County;Surfing, fell off surfboard;Right ankle & foot lacerated;NonFatal;"C. Creswell, GSAF; F. Schwartz, p.23"

697;6;670;;1976/07/24 10:30:00;Unprovoked;Florida;St. Lucie County;Spearfishing;Lacerations to forearms;NonFatal;News-Tribune, 7/27/1976

698;7;671;89;1976/06/02 0:00:00;Provoked;Reggio Calabria Province;Bovalino;Fishing;Shark rammed boat PROVOKED INCIDENT;NonFatal;C. Moore, GSAF

699;11;672;;1976/04/28 0:00:00;Unknown;Texas;Galveston Island;;Possible drowning victim, remains retrieved from shark caught by fishermen on 28-Apr-1976;Fatal;NY Times 4/30/1976, p.14, col.8

700;1;673;;1976/01/13 0:00:00;Provoked;Western Cape Province;Hartenbos;Shark fishing;No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT;NonFatal;T. Wallett

701;15;;;1978/09/02 0:00:00;Unprovoked;Off the coast of West Africa;;Boat with 5 men capsized while returning to the Amerique;FATAL, 2 of the crew were killed by sharks;Fatal;Brisbane Courier, 11/19/1878

702;13;674;56;1977/12/15 0:00:00;Unprovoked;;;;FATAL;Fatal;Australian Town & Country Journal, 12/15/1877

703;18;675;17;1977/12/15 0:00:00;Unprovoked;New South Wales;Peacock Point, Balmain, Sydney;Bathing;Leg severely bitten & later surgically amputated;NonFatal;"Sydney Mail, 2/16/1878; G.P. Whitley, (1951) p. 192,  ref. F.A. McNeil ms. 1940; J. Green, p.31"

704;5;676;17;1977/12/12 0:00:00;Unprovoked;New South Wales;Near Sydney;Washed overboard from the barque Mary Eady;FATAL;Fatal;Brisbane Courier, 12/15/1877

705;16;677;17;1977/01/28 0:00:00;Unprovoked;Victoria;Emerald Hill;Bathing;FATAL;Fatal;The Mercury, 2/19/1877

706;11;678;17;1977/01/24 0:00:00;Unprovoked;Victoria;Boarding School Bay;Swimming;Ankle injured;NonFatal;The Argus, 1/24/1877

707;17;679;68;1976/09/07 0:00:00;Unprovoked;Cyclades archipelago;Between the islands of Tenos and Andros;Diving for sponges;FATAL;Fatal;C. Moore, GSAF

708;1;;;1975/08/10 0:00:00;Unknown;KwaZulu-Natal;Back Beach, Durban;;Press reported that a 3 m shark  was caught with human remains in its gut, but  remains were those of a porpoise according to medical examiner;Fatal;"Natal Colonist, 8/13/1875; M. Levine, GSAF"

709;9;680;100;1974/04/20 0:00:00;Boating;Newfoundland;St. Pierre Bank;Fishing;Shark bit & tipped the dory;NonFatal;"Jones (1879); Piers (1933)"

710;1;;230;1974/01/01 0:00:00;Boating;;Between Nanumea & Nanumaga Atolls;Fleet of canoes caught by a squall and charged by sharks.;2 people out of +70 survived, one of whom was bitten by sharks;Fatal;Otago Witness, 10/28/1897

711;8;681;113;2001/01/01 0:00:00;Unprovoked;Havana Province;Havana Harbor;Swimming / escaping imprisonment;Legs severed bitten, later surgically amputated;NonFatal;NY Times, 8/9/1931

712;9;682;;1972/11/24 0:00:00;Unknown;;;;No injury, but according to Fosdyk, captain & crew were killed by sharks;NonFatal;Strand Magazine

713;14;683;56;1972/01/28 0:00:00;Unknown;Lomaiviti Provine;Levuka Point, Ovalau Island;boat capsized;Probable drowning;Fatal;Empire, 2/20/1872

714;3;684;17;1971/12/11 0:00:00;Unknown;New South Wales;Hawkesbury River;;Human remains recovered from 11' shark;NonFatal;Border Watch, 1/10/1872

715;11;685;;1970/07/27 0:00:00;Unprovoked;North Carolina;Smithville (now Southport), Brunswick County;Bathing;Foot bitten & toe severed;NonFatal;C. Creswell, GSAF, F. Schwartz, p.23

716;9;686;81;1970/05/18 0:00:00;Unprovoked;22ºN, 88ºE;Hatkolah, Ghat,;Bathing;4 irregular lacerated wounds on right arm;NonFatal;J. Fayrer, M.D.

717;11;687;17;1970/01/09 0:00:00;Unprovoked;Queensland;Brisbane River;Bathing;Right thigh bitten;NonFatal;Brisbane Courier, 1/15/1870

718;17;688;17;2001/01/01 0:00:00;Unknown;Tasmania;Derwent River;Canoeing;Shark bit canoe in half & bit man. Note: There is an earlier story of FATAL shark attack in same river;NonFatal;"C. Black, p.12; V.M. Coppleson (1958) pp. 104-105"

719;6;689;81;1968/05/13 10:30:00;Unprovoked;Hoogly River;Ghat;Standing;FATAL, upper left thigh, groin & buttocks severely bitten, leg surgically amputated at the hip;Fatal;J. Fayrer, M.D.

720;1;;242;1968/01/17 0:00:00;Unprovoked;;Cohong;A junk foundered;FATAL;Fatal;Argus, 5/26/1868

721;20;690;;2001/01/01 0:00:00;Unprovoked;North Island;Brickfield Bay, Auckland Harbour;Bathing close inshore;Thigh bitten;NonFatal;V.M. Coppleson (1958)  (May refer to Thomas Cooke, see- 22-Dec-1862)

722;3;691;2;1967/08/22 0:00:00;Unprovoked;;Port Said;Swimming;FATAL;Fatal;C. Moore, GSAF

723;10;692;113;1967/01/01 0:00:00;Unprovoked;Matanzas Province (north coast);Matanzas;Painting a ship;FATAL, pulled off float by shark, body not recovered;Fatal;Washington Star, 12/12/1891

724;5;693;58;1964/09/18 0:00:00;Provoked;Alpes Maritime;Antibes;Dragging a shark;Knee bitten PROVOKED INCIDENT;NonFatal;C. Moore, GSAF

725;1;694;;1964/09/01 0:00:00;Unprovoked;Edinburgh;Granton;;Leg bitten 3 times;NonFatal;C. Moore citing R. Peirce

726;1;695;;1964/08/12 0:00:00;Unprovoked;New York;Mahattan;Swimming;Left thigh severely bitten;NonFatal;NY Times, 8/13/1864

727;5;696;;1963/02/05 0:00:00;Unknown;KwaZulu-Natal;Back Beach, Durban;Swimming, caught in strong backwash & disappeared;Shark caught 9 days later contained human remains thought to be those of Canham;Fatal;"M. Levine, GSAF; Times of Natal, 2/16/1863"

728;1;697;68;1963/01/01 0:00:00;Unprovoked;Corfu Island;;Swimming;FATAL;Fatal;C. Moore

729;14;698;17;1962/12/19 0:00:00;Unprovoked;Queensland;Brisbane River;Trying to catch a wounded bird;FATAL;Fatal;Courier, 12/19/1862

730;11;699;199;1962/07/25 0:00:00;Unprovoked;Malaga;San Andres Beach;Swimming;FATAL;Fatal;C. Moore

731;12;700;;2001/01/01 0:00:00;Unprovoked;Hawaii;Puna;;Ankle bitten;NonFatal;Captain W. Young

732;9;701;;1961/03/01 0:00:00;Unprovoked;North Island;Wynyard Wharf, Auckland Harbor;Bathing;"""Severely bitten but recovered""";NonFatal;P. Tichener

733;19;702;;1960/04/01 0:00:00;Unprovoked;North Island;St. George's Bay, Auckland Harbor;Bathing;FATAL Foot & leg bitten;Fatal;P. Tichener

734;13;703;;1958/08/29 0:00:00;Unknown;New York;Staten Island, Richmond County;Swimming;Thought to have been taken by a shark/s. Bodies not  recovered;Fatal;Weekly Hawk Eye And Telegraph, 9/7/1858

735;11;704;;1956/11/30 0:00:00;Unprovoked;;;;FATAL;Fatal;Hartford Daily Courant, 1/29/1857

736;9;705;56;1956/11/25 0:00:00;Unprovoked;;;Swimming;FATAL;Fatal;The Argus, 11/25/1856

737;16;706;;1956/06/21 0:00:00;Unprovoked;Isle of Wight;Colwell Bay;Swimming;Survived;Fatal;C. Moore, GSAF

738;7;;;1952/02/26 1:50:00;Unprovoked;Western Cape Province;Danger Point;Wreck of the steamship Birkenhead;FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks;Fatal;"D. Davies, pp.182-184; M. Levine, GSAF"

739;2;707;;2001/01/01 0:00:00;Unprovoked;North Island;Wellington Harbor;Swimming;FATAL, posterior thigh bared to femur, kneecap lacerated;Fatal;Ref: H. Blake, Sixty Years in New Zealand, pp. 112-116 V. M. Coppleson (1962], page 247

740;1;708;;1952/01/01 0:00:00;Unprovoked;South Carolina;Mount Pleasant, Charleston County;Vessel capsized, wading ashore carrying an oar;FATAL, body was not recovered;Fatal;W. H. Gregg, p. 21

741;5;709;17;1949/12/09 0:00:00;Unprovoked;New South Wales;Sydney Harbor;;FATAL;Fatal;"T.H. Huxley's Diary, 1935, pp.285-286; G.P. Whitley, p.259"

742;13;710;;1949/06/08 0:00:00;Unprovoked;Florida;Pensacola, Escambia County;Attempting to rescue woman seized by shark;FATAL;Fatal;Adams Sentinel, 8/6/1849

743;5;711;;1945/09/16 0:00:00;Unprovoked;;;;Leg severed;NonFatal;C. Moore

744;5;712;;1945/09/10 0:00:00;Unprovoked;Florida;Pensacola Bay, Escambia County;Seine netting;FATAL;Fatal;Tioga Eagle, 9/10/1845

745;6;713;147;1944/07/20 0:00:00;Unprovoked;;;Boat capsized;FATAL;Fatal;Colonial Times, 5/24/1845

746;11;714;56;2001/01/01 0:00:00;Unprovoked;Viti Levu Island;Rewa;;Survived;NonFatal;"J. Garrett; T. Kanailagi"

747;20;715;17;1937/01/17 0:00:00;Unprovoked;New South Wales;Macleay River;Washing his feet;FATAL     Injured by shark, died of tetanus;Fatal;"Gazette (Sydney) 1/31/1837; Proc. Royal Aust. Hist. Scty, I, Part 2, 1924; G.P. Whitley, p.14; Sharpe, p. 87"

748;1;716;236;1935/02/21 0:00:00;Unprovoked;Sanma Province;Bay of Yago, Espiritu Santo Island;Bathing;FATAL;Fatal;Sydney Gazette, 2/21/1835

749;19;717;;1935/01/06 0:00:00;Unprovoked;35º39 : 165º8';Alongside the whaler Marianne;Hooking into a whale;"""Savagely bitten"" but apparently survived";NonFatal;G.P. Whitley, p. 259

750;1;718;81;1917/06/15 0:00:00;Unprovoked;Maharashtra;Bombay (now Mumbai);Swimming;FATAL;Fatal;Edinburgh Advertiser. 2/3/1818

751;7;719;;1917/05/11 0:00:00;Unprovoked;Western Province;Colombo;Swimming;FATAL;Fatal;"Edinburgh Advertiser. 11/4/1817; R. DeSilva"

752;9;720;;2001/01/01 0:00:00;Unprovoked;Rhode Island;Bristol Harbor;Swimming;FATAL;Fatal;Connecticut Courant, 9/3/1816

753;4;721;;2011/03/01 0:00:00;Unprovoked;;;Fell overboard;FATAL;Fatal;Journal of Captain Marryat

754;3;722;17;1988/05/10 0:00:00;Boating;New South Wales;Sydney Harbor;Fishing;No injury to occupants, shark bit oar and rudder;NonFatal;G.P. Whitley citing J. Cobley, Sydney Cove, p. 138

755;6;723;187;1955/01/01 0:00:00;Unprovoked;Skagerrak arm of the North Sea;Bohuslän;;;NonFatal;C. Moore, GSAF

756;13;724;81;1917/01/01 0:00:00;Unprovoked;West Bengal;Ganges Delta;;;NonFatal;H. Edwards, p.31, citing Samuel Purchas

757;1;725;;1977/01/01 0:00:00;Unprovoked;Ionian Sea;;Sponge diving;FATAL;Fatal;Perils mentioned by Pliny the Elder (23 A.D. to 76 A.D.)

758;17;726;;2001/01/01 0:00:00;Unprovoked;Ionian Sea;;Ascending from a dive;FATAL, shark/s bit him in two;Fatal;"Reported by Greek poet, Leonidas of Tarentum (228 B.C to 174 B.C.); V.M. Coppleson (1958), pp.4 &5"

759;17;727;68;2001/01/01 0:00:00;Unprovoked;Piraeus;In the haven of Cantharus;Washing his pig in preparation for a religious ceremony;"FATAL, shark ""bit off all lower parts of him up to the belly""";Fatal;Plutarch (45 - 125 A.D.) in Life of Phoecion (Phoecion 28)

760;1;;89;2001/01/01 0:00:00;Unprovoked;Tyrrhenian Sea;Vase found during excavations at Lacco Ameno, Ischia;;Vase depicts shipwrecked sailors, one of whom is being attacked by a shark;NonFatal;V.M. Coppleson (1958)

761;10;728;104;2001/01/01 0:00:00;Unprovoked;Mombasa;Kilindini;Diving;FATAL;Fatal;eadestination

762;3;729;;2001/01/01 0:00:00;Unprovoked;Morobe Province;Simbang;Swimming to canoe;FATAL;Fatal;The Advertiser (Adelaide), 6/2/1933

763;20;730;17;2001/01/01 0:00:00;Unprovoked;Queensland;Boonooroo;;Foot severed;NonFatal;Courier Mail, 6/30/1951

764;1;731;118;2001/01/01 0:00:00;Unprovoked;;;Collecting fish;Posterior thigh bitten;NonFatal;C. Moore, GSAF

765;11;732;207;2001/01/01 0:00:00;Unprovoked;Red Sea State;;Snorkeling;Leg severely bitten;NonFatal;E. Ritter, GSAF

766;1;733;;2001/01/01 0:00:00;Unprovoked;Florida;;Shark tagging;Severe abrasion to forearm from captive shark PROVOKED INICIDENT;NonFatal;Daniell Washington

767;15;734;;2001/01/01 0:00:00;Unprovoked;Florida;Lost Tree Village, Palm Beach County;Surfing;Legs bitten;NonFatal;M. Vorenberg

768;13;735;120;2001/01/01 0:00:00;Unprovoked;Cyrenaica;Kirinaiki;Sponge diving;FATAL;Fatal;M. Bardanis

769;4;736;;2001/01/01 0:00:00;Unprovoked;North Island;Point Halsey, Wellington;;FATAL;Fatal;Evening Post, 6/8/1912

770;11;737;;2001/01/01 0:00:00;Unprovoked;Northern Province;Mannar;Fishing?;Foot bitten;NonFatal;Gould & Pyle

771;2;738;;2001/01/01 0:00:00;Unprovoked;Florida;Tampa Bay, Hillsborough County;Wade-fishing;No injury, shark rammed his back;NonFatal;Fishingworld.com

772;17;739;;2001/01/01 0:00:00;Unprovoked;;;Pearl diving;FATAL;Fatal;A.C. Doyle

773;9;740;18;2001/01/01 0:00:00;Unprovoked;Andros Islands;Great Guana Cay;Spearfishing;Swim fin bitten;NonFatal;R.D. Weeks, GSAF

774;13;741;236;2001/01/01 0:00:00;Provoked;Malampa Province;Hokai, Malakula;Attempting to drive shark from area;Speared shark broke outrigger of canoe throwing man into the water & shark bit his buttock PROVOKED INCIDENT;NonFatal;S. Combs

775;1;742;;2001/01/01 0:00:00;Unknown;Milne Bay  Province;D'Entrecasteaux islands, 20 miles off the coast;Scuba diving;Said to be fatal but incident highly questionable;Fatal;F. Dennis, pp.15-16

776;13;743;;2001/01/01 0:00:00;Unprovoked;Eastern Cape Province;Keiskamma River mouth;Crossing river on a raft;FATAL, leg severed;Fatal;Whitaker, The Sun, 1/3/1967

777;6;744;68;2001/01/01 0:00:00;Unprovoked;Island of Volos;Eastern shore;Swimming;FATAL;Fatal;Sydney Morning Herald, 5/8/1965

778;7;745;17;2001/01/01 0:00:00;Unprovoked;Western Australia;Cossack Creek;Pearl diving;Leg bitten;NonFatal;"N. Caldwell; T. Peake, GSAF"

779;12;746;84;2001/01/01 0:00:00;Unprovoked;Basrah;Shatt-al-Arab River;Fishing from a small boat & put his hand in the water while holding a dead fish;Right hand severed;NonFatal;B.W. Coad & L.A.J. Al-Hassan

780;1;747;84;2001/01/01 0:00:00;Unprovoked;Basrah;Shatt-al-Arab River;Swimming naked near a date palm where many dates fell into the water;Arm severed;NonFatal;B.W. Coad & L.A.J. Al-Hassan

781;15;748;26;2001/01/01 0:00:00;Unprovoked;Paget;Paget Parish;Spearfishing;Shoulder abraded by skin of shark;NonFatal;"Mentioned in letter from L. S. Mowbray dated 4/24/1959; L. Schultz & M. Malin, p.516"

782;13;749;56;2001/01/01 0:00:00;Unprovoked;Kadavu Island Group;18.8S, 178.25E;Swimming with fish attached to  belt;"""Severely injured when fish were seized by shark""";NonFatal;V.M. Coppleson (1958), p.259

783;15;750;;2001/01/01 0:00:00;Unprovoked;New Georgia;Munda Island, Roviana Lagoon;Floating on his back;Buttock bitten;NonFatal;W. Chapman (1949) Fishing in Troubled Waters,  p.182

784;1;751;85;2001/01/01 0:00:00;Unprovoked;Khuzestan Province;Ahvaz, on the Karun River;Standing, washing rear wheels of his ambulance in ankle-deep water;FATAL, fell into water when shark seized his right ankle, right leg bitten, left forearm & hand lacerated, all tissue stripped from right arm;Fatal;Lt.Col. R.S. Hunt, p.79

785;16;752;17;2001/01/01 0:00:00;Unprovoked;New South Wales;Spectacle Island, Port Jackson;;;NonFatal;H. Capper

786;11;753;;2001/01/01 0:00:00;Unprovoked;KwaZulu-Natal;Durban;Swimming in pool formed by construction of a wharf;FATAL, leg severed;Fatal;L. Green in South African Beachcomber, p.97

787;10;754;17;2001/01/01 0:00:00;Unprovoked;;;Fishing;FATAL;Fatal;NY Sun, 9/9/1906, referring to account by Louis Becke

788;13;755;;2001/01/01 0:00:00;Unprovoked;North Carolina;Ocracoke Inlet;Swimming;FATAL;Fatal;"F. Schwartz, p.23; C. Creswell, GSAF"

789;20;;;2001/01/01 0:00:00;Unknown;;;;;Unknown;

790;1;;;2001/01/01 0:00:00;Unknown;;;;;Unknown;

791;17;;;2001/01/01 0:00:00;Unknown;;;;;Unknown;

792;17;;;2001/01/01 0:00:00;Unknown;;;;;Unknown;

793;1;;;2001/01/01 0:00:00;Unknown;;;;;Unknown;

794;3;756;112;1974/08/10 15:00:00;Unprovoked;Split-Dalmatia County;Lokva Rogoznica, Omis;;Foot severed FATAL;Fatal;"A. De Maddalena;      R. Rocconi"

795;16;757;;1974/07/26 0:00:00;Unprovoked;California;Albion Cove, Albion, Mendocino County;Free diving for abalone (submerged);Minor bite on heel & swim fin bitten;NonFatal;"D. Miller & R. Collier, R. Collier, pp.54-56; J. McCosker & R.N. Lea"

796;13;758;;1974/07/20 0:00:00;Unprovoked;Georgia;Back River, Savannah Beach, Chatham County;Swimming;FATAL;Fatal;Rome News Tribune, 7/31/1974

797;14;759;32;1974/04/25 0:00:00;Unprovoked;;;Fishing boat swamped in a storm;FATAL;Fatal;Fresno Bee Republican, 4/25/1974

798;17;760;;1974/02/13 19:00:00;Unprovoked;KwaZulu-Natal;Inyoni Rocks, Amanzimtoti;Swimming;Right shin lacerated;NonFatal;"J. Kool, S. Jooste; M. Levine, GSAF"

799;7;761;;1974/01/13 0:00:00;Unprovoked;KwaZulu-Natal;Cape Vidal;Sitting;2 minor lacerations in foot;NonFatal;"Daily News (Durban), 1/29/1974; GSAF"

800;1;762;17;2001/01/01 0:00:00;Unprovoked;Western Australia;Emu Channel;Spearfishing;8 to 10 puncture marks around knee;NonFatal;G. Tunbridge

801;19;763;167;1963/07/01 0:00:00;Unprovoked;San Blas coast;4 miles from Tuwala, near Mulatuppu;Seining for bait, standing in chest-deep water;FATAL, foot nearly severed;Fatal;H. Loftin

802;3;764;;1963/05/18 0:00:00;Unknown;California;San Mateo County;Swimming;3 lacerations below right knee;NonFatal;San Mateo Times, 5/22/1963

803;10;765;17;1963/04/22 0:00:00;Provoked;New South Wales;Clarence Head;Fishing;Foot lacerated by netted shark PROVOKED INCIDENT;NonFatal;H.D. Baldridge (1994) SAF Case #1472

804;1;766;;1963/04/17 12:45:00;Unprovoked;KwaZulu-Natal;Amanzimtoti;Swimming;Buttock bitten;NonFatal;"D. Davies, p.118-119; M. Levine, GSAF"

805;16;767;17;1963/04/13 0:00:00;Unprovoked;Western Australia;Yallingup;"Surfing on ""chest board"" (boogie board?)";Arm bitten;NonFatal;"G.P. Whitley; NSW newspapers of 4/14&15/1963; H.D. Baldridge, p. 142"

806;1;768;;1963/02/27 11:00:00;Unprovoked;New Ireland Province;Namatanai;Swimming;Right shoulder bitten;NonFatal;Times-Courier (Lae), 3/6/1963

807;5;769;56;1963/02/08 10:00:00;Unprovoked;Lomaiviti  Island Group;Taibaisa Passage, Gau Island;Spearfishing;Left arm bitten;NonFatal;S. Brown, P. Helfrich

808;13;;56;2001/01/01 0:00:00;Unprovoked;Vita Levu;Korolevu (South coast between Nadi & Suva);;No details;NonFatal;S. Brown, P. Helfrich

809;5;770;;1962/11/11 12:45:00;Unprovoked;California;Farallon Islands;Spearfishing / Scuba diving (at surface);Arm, hand, buttock, leg and thigh bitten;NonFatal;"D. Miller & R. Collier; R. Collier, pp.35-36; H.D. Baldridge, pp.73 & 78"

810;11;771;;1962/10/28 15:00:00;Unprovoked;KwaZulu-Natal;Paradise Reef;Spearfishing;Arm lacerated (minor injury);NonFatal;"D. Davies; M. Levine, GSAF"

811;12;772;138;1962/10/25 8:30:00;Unprovoked;Veracruz;Villa del Mar Beach, Veracruz;Wading;FATAL, both legs bitten;Fatal;C.G. Robles

812;17;773;17;1962/10/14 0:00:00;Boating;South Australia;Port Phillip Bay;Adrift after wave swamped engine;"No injury to occupant, shark ""nibbled"" at boat";NonFatal;Strand (London), 10/15/1962

813;6;774;;1962/09/13 0:00:00;Unprovoked;Off coast of West Africa;Off the passenger liner Stirling Castle;When  a deckhand  jumped overboard, McIver dived after him with a rescue line.;FATAL, he died within minutes of being hauled back onboard the Stirling Castle;Fatal;Daily Express (London), et. al, 9/22/1962

814;13;775;227;1962/08/30 0:00:00;Boating;Antalya Province;Ucagiz;;No injury;NonFatal;C.Moore, GSAF

815;11;776;;1962/08/26 0:00:00;Boating;Florida;6 miles north of Palm Beach;;No injury to occupants, sharks tore Max Butcher's life jacket & pants;NonFatal;"New York Post, 8/27/1962; SAF Case #1061"

816;13;777;125;1962/07/20 0:00:00;Provoked;;Onboard tuna boat, M.V. Toscui Maru;Finning the shark;Right calf lacerated by boated shark PROVOKED INCIDENT;NonFatal;J. D'Aubrey

817;19;778;;1962/06/10 16:00:00;Unprovoked;South Carolina;Hilton Head, Beaufort County;Standing;Thigh bitten;NonFatal;"F. Glenn; Dr. H.C. Yeatman; D. E. Gatch, M.D."

818;7;779;;1962/06/03 12:00:00;Unprovoked;Florida;Riviera Beach, near Palm Beach Inlet, Palm Beach County;Free diving;Left foot bitten;NonFatal;"M. Vorenberg; Palm Beach Post, 6/4/1962"

819;2;780;;1962/05/29 0:00:00;Unprovoked;Florida;Jupiter, Palm Beach County;;Bitten on leg or ankle;NonFatal;M. Vorenberg

820;1;781;56;1962/05/01 0:00:00;Boating;Viti Levu;Near Suva;Fishing;No injury, sharks rammed boat and bit outboard motor;NonFatal;Yorkshire Evening News, 5/5/1962

821;4;782;;1962/04/07 11:30:00;Unprovoked;KwaZulu-Natal;Umhlali;Wading;Left ankle & foot bitten;NonFatal;"D. Davies, p.117; D. Blane, M. Levine, GSAF"

822;11;783;;1962/03/25 0:00:00;Provoked;Off the Coromandel Peninsula, North Island;Alderman Islands;;Left foot bitten by hooked shark PROVOKED INCIDENT;NonFatal;Christchurch Star, 3/26/1962

823;5;784;17;1962/03/25 0:00:00;Boating;New South Wales;Norah Head;Fishing & spearfishing;No injury to occupants. Shark holed boat & they swam 200 yards to shore;NonFatal;Sunday Mirror (Sydney)

824;1;785;17;1962/02/15 0:00:00;Unprovoked;Queensland;Between Smith’s Rock & Moreton Island;Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it;Middle finger of right hand lacerated;NonFatal;Brisbane Courier Mail, 2/16/1962

825;1;786;;1962/01/15 12:00:00;Unprovoked;North Island;Slipper Island, Coromandel Peninsula;Spearfishing;Shark struck him on shoulder injuring skin under suit;NonFatal;"V.M. Coppleson (1962), p.254; H.D. Baldridge, p.1432"

826;5;787;17;1962/01/14 0:00:00;Provoked;New South Wales;Long Reef, North Manly;Spearfishing;Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT;NonFatal;Sydney Daily Telegraph, 1/15/1962

827;20;788;17;1962/01/07 0:00:00;Provoked;Queensland;Dicky Beach;Rowing;"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT";NonFatal;Sydney Daily Telegraph, 1/8/1962

828;13;789;199;1962/01/01 0:00:00;Unprovoked;Catalonia;Aigua Blava;Dangling feet in the water;Feet severed;NonFatal;C. Moore, GSAF

829;10;790;17;2001/01/01 0:00:00;Unprovoked;South Australia;Dangerous Reef;Diving;Right leg bitten;NonFatal;F. Dennis, p.76

830;11;791;17;1961/12/28 16:15:00;Unprovoked;Queensland;Lambert's Beach, Mackay;Standing;FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack;Fatal;"V.M. Coppleson (1962), p.246; A. MacCormick, pp.19-21; A. Sharpe, p.101"

831;7;792;145;1961/12/18 16:00:00;Unprovoked;Gaza;Praia Sepulveda;Bathing;His left leg was severely bitten;NonFatal;Dr. C. d.  Nacimento

832;17;793;;1961/10/09 0:00:00;Unknown;Florida;Ocean Ridge, Boca Raton, Palm Beach County;Swimming;Skeletonized, but shark involvement may have occurred after death.;Fatal;H.D. Baldridge, p.162

833;11;794;89;1961/09/06 0:00:00;Provoked;Venice Province;Chioggia;Fishing;Left foot & right hand bitten by netted shark PROVOKED INCIDENT;NonFatal;C. Moore, GSAF

834;9;795;89;1961/07/01 14:00:00;Unprovoked;Adriatic Sea;Riccione;Spearfishing;Foot bitten;NonFatal;"M. Gregor; H.D. Baldridge, p.135; A. De Maddalena; Ellis (1973), Fergusson (1996), Mojetta et al. (1997)"

835;6;796;167;1961/07/01 0:00:00;Provoked;;Jarque, just south of Pi_as Bay;Fishing (trolling)  from canoe;FATAL, hooked shark pulled him into the water PROVOKED INCIDENT;Fatal;J. Hardie, D. DeSylva

836;13;797;;1961/06/01 0:00:00;Provoked;Admiralty Islands, Manus Province;Rossun, Manus;Fishing, speared shark upset canoe & man fell in water;Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT;NonFatal;"J. McDonough; A. M. Rapson, p.147; Papua and New Guinea Agricultural Journal;"

837;4;798;;1961/04/30 15:00:00;Unknown;Florida;Palm Beach County;Splashing;Abdomen abraded;NonFatal;H.D.Baldridge (1994) SAF Case #942

838;19;799;17;1961/04/25 12:00:00;Provoked;New South Wales;Trial Bay, north of Kempsey;Spearfishing;Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT;NonFatal;Kempsey Macleay Argus (N.S.W.), 4/27/1961

839;17;800;17;1961/04/14 0:00:00;Unprovoked;New South Wales;10 miles off Nambucca Heads  onboard trawler;Checking fish traps, fell into the water;Tiny cuts & bruises on neck;NonFatal;G. P. Whiltley citing Sydney Morning Herald, 4/15/1961 & 4/17/1961

840;1;801;17;1961/04/01 0:00:00;Provoked;Western Australia;Rottnest Island;Spearfishing;Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT;NonFatal;Perth Daily News, 4/19/1961

